,estimated_frequency
Strep_C100601,0.007142857142857143
Strep_C100602,0.014285714285714285
Strep_C100603,0.007142857142857143
Strep_C100604,0.007142857142857143
Strep_C100605,0.007142857142857143
Strep_C100606,0.007142857142857143
Strep_C100607,0.007142857142857143
Strep_C100608,0.007142857142857143
Strep_C100609,0.014285714285714285
Strep_C10060,0.007142857142857143
Strep_C100610,0.007142857142857143
Strep_C100611,0.007142857142857143
Strep_C100612,0.007142857142857143
Strep_C100613,0.03571428571428571
Strep_C100614,0.007142857142857143
Strep_C100615,0.007142857142857143
Strep_C100616,0.007142857142857143
Strep_C100617,0.007142857142857143
Strep_C100618,0.007142857142857143
Strep_C100619,0.007142857142857143
Strep_C10061,0.007142857142857143
Strep_C100620,0.007142857142857143
Strep_C100621,0.007142857142857143
Strep_C100622,0.007142857142857143
Strep_C100623,0.007142857142857143
Strep_C100624,0.007142857142857143
Strep_C100625,0.014285714285714285
Strep_C100626,0.007142857142857143
Strep_C100627,0.007142857142857143
Strep_C100628,0.007142857142857143
Strep_C100629,0.07857142857142857
Strep_C10062,0.05
Strep_C100630,0.014285714285714285
Strep_C100631,0.02142857142857143
Strep_C100632,0.007142857142857143
Strep_C100633,0.03571428571428571
Strep_C100634,0.04285714285714286
Strep_C100635,0.014285714285714285
Strep_C100636,0.007142857142857143
Strep_C100637,0.007142857142857143
Strep_C100638,0.014285714285714285
Strep_C100639,0.007142857142857143
Strep_C10063,0.02142857142857143
Strep_C100640,0.014285714285714285
Strep_C100641,0.007142857142857143
Strep_C100642,0.014285714285714285
Strep_C100643,0.007142857142857143
Strep_C100644,0.007142857142857143
Strep_C100645,0.007142857142857143
Strep_C100646,0.007142857142857143
Strep_C100647,0.007142857142857143
Strep_C100648,0.1
Strep_C100649,0.014285714285714285
Strep_C10064,0.007142857142857143
Strep_C100650,0.007142857142857143
Strep_C100651,0.007142857142857143
Strep_C100652,0.007142857142857143
Strep_C100653,0.007142857142857143
Strep_C100654,0.007142857142857143
Strep_C100655,0.007142857142857143
Strep_C100656,0.007142857142857143
Strep_C100657,0.007142857142857143
Strep_C100658,0.014285714285714285
