,estimated_frequency
Strep_C10589,0.7256406595528874
Strep_C1058,0.11136757272179186
Strep_C10590,0.47127620612957083
Strep_C10591,0.47311651524910325
Strep_C10592,0.11634201451864289
Strep_C10593,0.5967242474384321
Strep_C10594,0.11634201451864289
Strep_C10595,0.11634201451864289
Strep_C10596,0.11634201451864289
Strep_C10597,0.99999999
Strep_C10598,0.11136757272179186
Strep_C10599,0.11136757272179186
Strep_C1059,0.1163415109155265
Strep_C105,0.23305302815717163
Strep_C10600,0.11136757272179186
Strep_C10601,0.6665426254504294
Strep_C10602,0.44444957634747156
Strep_C10603,0.11136757272179186
Strep_C10604,0.11136757272179186
Strep_C10605,0.23305302815717163
Strep_C10606,0.23305302815717163
Strep_C10607,0.23305302815717163
Strep_C10608,0.23305302815717163
Strep_C10609,0.23305302815717163
Strep_C1060,0.99999999
Strep_C10610,0.23305302815717163
Strep_C10611,0.23305302815717163
Strep_C10612,0.99999999
Strep_C10613,0.5555546390366239
Strep_C10614,0.99999999
Strep_C10615,0.11634201451864289
Strep_C10616,0.2337017810381666
Strep_C10617,0.11634201451864289
Strep_C10618,0.47311830745470035
Strep_C10619,0.11634201451864289
Strep_C1061,0.11136757272179186
Strep_C10620,0.47311830745470035
Strep_C10621,0.11634201451864289
Strep_C10622,0.11634201451864289
Strep_C10623,0.2337017810381666
Strep_C10624,0.351325490499599
Strep_C10625,0.8524331858472348
Strep_C10626,0.11634201451864289
Strep_C10627,0.11634201451864289
Strep_C10628,0.11634201451864289
Strep_C10629,0.23370178103816636
Strep_C1062,0.11634201451864289
Strep_C10630,0.11634201451864289
Strep_C10631,0.99999999
Strep_C10632,0.11634201451864289
Strep_C10633,0.47311830745470035
Strep_C10634,0.11634201451864289
Strep_C10635,0.7256406595528874
Strep_C10636,0.11634201451864289
Strep_C10637,0.23370228693111114
Strep_C10638,0.11634201451864289
Strep_C10639,0.47311830745470035
Strep_C1063,0.11634201451864289
Strep_C10640,0.11634201451864289
Strep_C10641,0.7198643407720242
Strep_C10642,0.1163415109155265
Strep_C10643,0.23370228693111114
Strep_C10644,0.1163415109155265
Strep_C10645,0.1163415109155265
Strep_C10646,0.1163415109155265
Strep_C10647,0.1163415109155265
Strep_C10648,0.23370228693111114
Strep_C10649,0.1163415109155265
Strep_C1064,0.23305302815717163
Strep_C10650,0.1163415109155265
Strep_C10651,0.1163415109155265
Strep_C10652,0.23370228693111114
Strep_C10653,0.1163415109155265
Strep_C10654,0.99999999
Strep_C10655,0.99999999
